,2022.3.9,,,
,4AL,4AR,4BL,4BR
0.00,149.037,149.034,149.044,149.035
0.05,149.035,149.033,149.043,149.034
0.10,149.035,149.035,149.044,149.035
0.15,149.034,149.035,149.044,149.034
0.20,149.035,149.037,149.046,149.033
0.25,149.036,149.037,149.047,149.035
0.30,149.037,149.038,149.047,149.034
0.35,149.038,149.039,149.048,149.035
0.40,149.038,149.039,149.049,149.035
0.45,149.037,149.038,149.048,149.035
0.50,149.037,149.038,149.050,149.035
0.55,149.036,149.038,149.050,149.034
0.60,149.035,149.037,149.049,149.034
0.65,149.034,149.037,149.049,149.033
0.70,149.033,149.037,149.048,149.032
0.75,149.033,149.037,149.050,149.034
0.80,149.032,149.037,149.049,149.034
0.85,149.032,149.038,149.050,149.034
0.90,149.032,149.038,149.050,149.034
0.95,149.031,149.038,149.050,149.033
1.00,149.031,149.039,149.050,149.034
1.05,149.031,149.038,149.049,149.033
1.10,149.031,149.039,149.048,149.033
1.15,149.030,149.039,149.048,149.033
1.20,149.030,149.039,149.048,149.033
1.25,149.030,149.039,149.047,149.034
1.30,149.030,149.038,149.048,149.033
1.35,149.031,149.039,149.047,149.034
1.40,149.030,149.038,149.046,149.033
1.45,149.030,149.039,149.046,149.034
1.50,149.030,149.038,149.045,149.033
1.55,149.030,149.039,149.045,149.033
1.60,149.031,149.038,149.042,149.033
1.65,149.031,149.039,149.041,149.032
1.70,149.033,149.038,149.040,149.033
1.75,149.034,149.037,149.040,149.033
1.80,149.033,149.038,149.041,149.032
1.85,149.034,149.037,149.041,149.032
1.90,149.034,149.036,149.043,149.032
1.95,149.035,149.035,149.044,149.033
2.00,149.036,149.032,149.046,149.032
2.05,149.037,149.031,149.047,149.033
2.10,149.037,149.030,149.047,149.034
2.15,149.038,149.029,149.048,149.034
2.20,149.038,149.028,149.049,149.033
2.25,149.037,149.028,149.049,149.033
2.30,149.037,149.028,149.048,149.033
2.35,149.037,149.028,149.049,149.033
2.40,149.038,149.028,149.048,149.034
2.45,149.038,149.029,149.048,149.034
2.50,149.039,149.029,149.048,149.035
2.55,149.039,149.030,149.048,149.034
2.60,149.039,149.030,149.048,149.034
2.65,149.039,149.030,149.048,149.034
2.70,149.039,149.030,149.048,149.034
2.75,149.040,149.030,149.049,149.033
2.80,149.041,149.030,149.049,149.033
2.85,149.041,149.030,149.050,149.034
2.90,149.041,149.032,149.049,149.034
2.95,149.041,149.032,149.049,149.034
3.00,149.041,149.032,149.049,149.034
3.05,149.040,149.033,149.048,149.034
3.10,149.040,149.033,149.049,149.034
3.15,149.040,149.034,149.047,149.033
3.20,149.040,149.032,149.049,149.034
3.25,149.041,149.033,149.049,149.034
3.30,149.042,149.032,149.050,149.034
3.35,149.042,149.032,149.051,149.035
3.40,149.043,149.032,149.051,149.034
3.45,149.044,149.032,149.051,149.034
3.50,149.045,149.032,149.052,149.034
3.55,149.043,149.032,149.052,149.034
3.60,149.041,149.032,149.052,149.034
3.65,149.040,149.032,149.052,149.035
3.70,149.039,149.032,149.051,149.035
3.75,149.038,149.033,149.051,149.034
3.80,149.038,149.033,149.050,149.034
3.85,149.038,149.033,149.049,149.034
3.90,149.039,149.034,149.049,149.033
3.95,149.039,149.034,149.048,149.033
4.00,149.039,149.035,149.048,149.032
4.05,149.039,149.034,149.048,149.032
4.10,149.040,149.034,149.049,149.032
4.15,149.039,149.032,149.049,149.032
4.20,149.039,149.032,149.048,149.032
4.25,149.039,149.030,149.048,149.032
4.30,149.040,149.029,149.047,149.032
4.35,149.040,149.029,149.046,149.032
4.40,149.040,149.028,149.045,149.032
4.45,149.041,149.030,149.045,149.033
4.50,149.041,149.031,149.045,149.033
4.55,149.042,149.032,149.044,149.034
4.60,149.043,149.032,149.044,149.034
4.65,149.043,149.033,149.044,149.035
4.70,149.043,149.033,149.042,149.036
4.75,149.043,149.032,149.041,149.036
4.80,149.043,149.032,149.042,149.036
4.85,149.043,149.030,149.041,149.036
4.90,149.042,149.030,149.042,149.035
4.95,149.042,149.029,149.043,149.034
5.00,149.042,149.029,149.045,149.033
5.05,149.042,149.029,149.047,149.033
5.10,149.043,149.030,149.049,149.033
5.15,149.043,149.030,149.054,149.033
5.20,149.044,149.031,149.054,149.035
5.25,149.045,149.031,149.055,149.037
5.30,149.045,149.032,149.053,149.038
5.35,149.045,149.032,149.051,149.039
5.40,149.044,149.032,149.048,149.038
5.45,149.044,149.030,149.046,149.038
5.50,149.044,149.032,149.045,149.038
5.55,149.044,149.032,149.045,149.037
5.60,149.043,149.032,149.044,149.037
5.65,149.043,149.033,149.045,149.037
5.70,149.043,149.033,149.046,149.037
5.75,149.042,149.034,149.045,149.037
5.80,149.042,149.034,149.043,149.035
