timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-865.0866244186,-563.0525264830,-3.0269107285,-0.6837720130,-0.0187172448,0.0402409199,9.6874013653,-7.8944488902,0.2862368060,-0.0211130720,0.0051441995,0.0005098165,-0.1679456912,-0.2034955719,0.0698942001,-0.0906636800,-1.6928302527,-0.8824492928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-864.9655579489,-563.1512390486,-3.0230519312,-0.6840359264,-0.0186529424,0.0402472926,9.6853020441,-7.8969925848,0.2871104835,-0.0222463680,-0.0160161787,-0.0105207996,-0.1769460020,-0.2144295744,0.0693583520,-0.0918092800,-0.6169766941,-0.5397056507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-864.8445191279,-563.2499851182,-3.0196894991,-0.6843140060,-0.0188531446,0.0401157826,9.6830902191,-7.8996729545,0.2879774629,-0.0233939840,-0.0237283873,-0.0172671203,-0.1856687681,-0.2258208014,0.0464939998,-0.0925254400,-0.1332103393,-0.2896168098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-864.7235093811,-563.3487664206,-3.0165337300,-0.6846064308,-0.0191497494,0.0398999436,9.6807693596,-7.9024957146,0.2885586379,-0.0245505520,-0.0253935166,-0.0208873304,-0.1947571530,-0.2370583817,0.0396736962,-0.0931891200,-2.1541855280,1.6843502834,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-864.6025300840,-563.4475847480,-3.0133800020,-0.6849133127,-0.0194671684,0.0396388520,9.6783348951,-7.9054589443,0.2890545591,-0.0257154160,-0.0523208357,0.0001670482,-0.2039188605,-0.2483702683,0.0327339519,-0.0936070400,0.7236893487,0.4596934053,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-864.4815826684,-563.5464418676,-3.0109185082,-0.6852347554,-0.0201211788,0.0396409401,9.6757859094,-7.9085635727,0.2894637335,-0.0268855040,-0.0432747188,0.0059132157,-0.2131341151,-0.2597225400,0.0259037201,-0.0940364800,2.0142120757,-0.4317873067,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-864.3606685742,-563.6453395533,-3.0084555757,-0.6855708242,-0.0206621128,0.0397148553,9.6731217329,-7.9118101044,0.2897875300,-0.0280609600,-0.0180970679,0.0005158744,-0.2224057289,-0.2711156392,0.0192256080,-0.0941523200,0.4019341063,-1.1430298126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-864.2397892495,-563.7442795856,-3.0059405200,-0.6859215862,-0.0208883262,0.0397213037,9.6703416613,-7.9151990499,0.2900278501,-0.0292378640,-0.0130728915,-0.0137719983,-0.2316871636,-0.2825242131,0.0118036559,-0.0941440000,0.5649272169,-1.7449910367,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-864.1189461467,-563.8432637452,-3.0034597589,-0.6862870595,-0.0210517373,0.0395491538,9.6674455718,-7.9187306026,0.2901753958,-0.0304146640,-0.0060113013,-0.0355843862,-0.2409915303,-0.2939125087,0.0050160082,-0.0941158400,0.0034265670,0.0019367546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-863.9981407179,-563.9422938131,-3.0010410988,-0.6866672428,-0.0211268786,0.0391043489,9.6644331776,-7.9224045089,0.2902380959,-0.0315911120,-0.0059684692,-0.0355601768,-0.2503083540,-0.3052848624,-0.0016399040,-0.0938380800,0.7904886757,2.2258937894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
