timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-751.8340573479,-690.5967684033,-3.4259894905,2.3340679108,-0.0001573493,-0.0122813108,-7.6809395654,8.0285945568,-0.0403355795,-0.0036247680,0.0034290602,-0.0129923416,0.0289505365,0.0279997115,0.0610994240,-0.0067257600,-0.0001042708,0.0000208668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-751.9300645452,-690.4964066212,-3.4257785436,2.3340226012,-0.0001144861,-0.0124437151,-7.6805776837,8.0289445532,-0.0395718367,-0.0037088400,0.0034277568,-0.0129920808,0.0296286281,0.0286423641,0.0615915120,-0.0066092800,-0.4862122321,0.3878980236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-752.0260671133,-690.3960403634,-3.4255675211,2.3339762407,-0.0000716391,-0.0126061161,-7.6802073258,8.0293025827,-0.0388019428,-0.0037914560,-0.0026498961,-0.0081433555,0.0302951656,0.0292733861,0.0620308640,-0.0060313600,-0.7029070632,0.6515403737,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-752.1220649481,-690.2956695314,-3.4255127843,2.3339288475,-0.0001047628,-0.0127079081,-7.6798286363,8.0296685001,-0.0380265570,-0.0038668480,-0.0114362343,0.0000008992,0.0309039269,0.0298490332,0.0625063280,-0.0060108800,0.2673933769,0.1541914184,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-752.2180579545,-690.1952940351,-3.4256939617,2.3338805119,-0.0002477157,-0.0127078968,-7.6794423372,8.0300416130,-0.0372452279,-0.0039419840,-0.0080938171,0.0019282919,0.0315110158,0.0304220322,0.0628213200,-0.0055417600,0.4512486984,-0.1552528577,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-752.3140460376,-690.0949137851,-3.4259843977,2.3338312371,-0.0003488885,-0.0126837932,-7.6790484495,8.0304218884,-0.0364599614,-0.0040112560,-0.0024532084,-0.0000123688,0.0320709413,0.0309502269,0.0632606480,-0.0053433600,0.3321720339,0.5433327306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-752.4100291100,-689.9945286987,-3.4264577478,2.3337810964,-0.0003795536,-0.0126839478,-7.6786475627,8.0308087662,-0.0356692033,-0.0040780480,0.0016989420,0.0067792903,0.0326111928,0.0314590631,0.0636414560,-0.0050419200,0.5439968839,0.9154942590,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-752.5060070872,-689.8941386964,-3.4267937016,2.3337301208,-0.0003583168,-0.0125992067,-7.6782399228,8.0312020045,-0.0348736851,-0.0041410720,0.0084989031,0.0182229686,0.0331211613,0.0319390786,0.0641145200,-0.0046739200,-0.0000630492,-0.0000232523,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-752.6019798895,-689.7937437034,-3.4269019009,2.3336783574,-0.0002520805,-0.0123714196,-7.6778259083,8.0316012430,-0.0340722536,-0.0041994960,0.0084981150,0.0182226779,0.0335944619,0.0323834582,0.0645161600,-0.0043123200,0.1875884944,-0.3023120219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-752.6979474432,-689.6933436500,-3.4270100109,2.3336258637,-0.0001458541,-0.0121436361,-7.6774059775,8.0320060362,-0.0332658016,-0.0042534000,0.0108429711,0.0144437777,0.0340315654,0.0327929704,0.0649171120,-0.0041209600,0.6880703909,-1.1557719886,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
