timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-740.0088582207,-698.0102896932,-3.3607441593,2.3444111154,0.0052028788,0.0049634281,-11.6452560253,11.9229822643,-0.0910154325,-0.0064509120,0.0049866052,0.0000798155,0.0767754791,0.0752643929,0.0372113920,-0.0239084800,1.9512058991,-0.0088683421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-740.1544119027,-697.8612406775,-3.3617283827,2.3443304790,0.0052652114,0.0049644258,-11.6442963318,11.9239230692,-0.0905502901,-0.0067497680,0.0293766790,-0.0000310388,0.0803425211,0.0787409269,0.0381760880,-0.0261996800,-0.5282412181,-1.9888839454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-740.2999530308,-697.7121793590,-3.3621359463,2.3442461069,0.0056324199,0.0049640378,-11.6432920503,11.9249073308,-0.0900730890,-0.0070772640,0.0227736637,-0.0248920881,0.0842517659,0.0825502502,0.0392207440,-0.0302892800,-0.2247428427,-0.6854136628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-740.4454809940,-697.5631051425,-3.3628849515,2.3441576411,0.0059170907,0.0046528867,-11.6422389032,11.9259392089,-0.0895828297,-0.0074558800,0.0199643782,-0.0334597589,0.0887717720,0.0869532279,0.0402242160,-0.0339372800,-0.4416280217,1.8655245234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-740.5909950862,-697.4140173401,-3.3637616982,2.3440644426,0.0061666454,0.0042346397,-11.6411292561,11.9270261243,-0.0890800270,-0.0078800960,0.0144440279,-0.0101407024,0.0938372924,0.0918857717,0.0412024240,-0.0367507200,-2.2640632295,0.9612021131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-740.7364945158,-697.2649151809,-3.3649461299,2.3439659414,0.0063471958,0.0041078809,-11.6399562899,11.9281746964,-0.0885649967,-0.0083394800,-0.0138567624,0.0018743240,0.0993238593,0.0972258127,0.0421495680,-0.0391686400,-3.4537333411,-1.5214196693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-740.8819784257,-697.1157978307,-3.3659862836,2.3438616979,0.0061739862,0.0041313100,-11.6387147417,11.9293900191,-0.0880381271,-0.0088290880,-0.0570284292,-0.0171434218,0.1051721730,0.1029165551,0.0432744240,-0.0409510400,-0.5036619985,-7.8138842217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-741.0274459020,-696.9666644002,-3.3663700291,2.3437513343,0.0054611309,0.0039170172,-11.6374000895,11.9306764760,-0.0874971968,-0.0093409760,-0.0633242042,-0.1148169746,0.1112891832,0.1088637448,0.0441736800,-0.0423251200,1.5194060232,3.2566100852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-741.1728959889,-696.8175139601,-3.3677267014,2.3436345721,0.0046695783,0.0024818050,-11.6360089747,11.9320372728,-0.0869450258,-0.0098700400,-0.0443316289,-0.0741093485,0.1176126419,0.1150088461,0.0452012560,-0.0432000000,-0.6721668920,6.7282988330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-741.3183276985,-696.6683455504,-3.3691609174,2.3435111966,0.0041154330,0.0015554382,-11.6345388167,11.9334748834,-0.0863800101,-0.0104100400,-0.0527337150,0.0099943869,0.1240692270,0.1212788049,0.0462006800,-0.0434835200,3.4890887315,-0.3291664196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
