timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-1112.7156978079,-269.7676238129,-5.1358680982,-0.6875468550,0.0459617853,0.0455128381,10.7216620426,-8.8048460121,-0.6495262246,-0.0205675760,0.0258994584,0.0469097156,-0.1807255592,-0.2208216486,0.0109801520,-0.0486880000,0.0023903977,-0.0028958888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-1112.5817053328,-269.8777188404,-5.1435747470,-0.6878039497,0.0462855286,0.0460992095,10.7194029731,-8.8076062827,-0.6493889727,-0.0211761760,0.0259293384,0.0468735169,-0.1861542681,-0.2272895712,0.0107095038,-0.0475084800,-0.2772636012,-2.9707328457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-1112.4477419427,-269.9878493832,-5.1512834611,-0.6880686519,0.0466096453,0.0466851285,10.7170760447,-8.8104474023,-0.6492551039,-0.0217700320,0.0224635433,0.0097393564,-0.1914236465,-0.2336237707,0.0113964564,-0.0477984000,-0.1613231453,-0.8498521974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-1112.3138084665,-270.0980164266,-5.1587346458,-0.6883407773,0.0468904396,0.0468068704,10.7146832492,-8.8133676995,-0.6491126482,-0.0223675120,0.0204470040,-0.0008837961,-0.1967475991,-0.2399780167,0.0115988719,-0.0489228800,-2.0009803677,-0.0134936262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-1112.1799057331,-270.2082209655,-5.1661442419,-0.6886203712,0.0471460271,0.0467958230,10.7122239042,-8.8163674247,-0.6489676623,-0.0229790480,-0.0045652506,-0.0010524664,-0.2021970334,-0.2464818308,0.0119121361,-0.0512006400,0.1953795590,-0.1213215762,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-1112.0460345948,-270.3184640157,-5.1742121829,-0.6889076093,0.0470889615,0.0467826671,10.7096964413,-8.8194484476,-0.6488187606,-0.0236190560,-0.0021230061,-0.0025689861,-0.2078967418,-0.2532909298,0.0124030479,-0.0540742400,0.2690567861,-0.0566201687,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-1111.9121959431,-270.4287466404,-5.1822502397,-0.6892028475,0.0470624239,0.0467505548,10.7070977320,-8.8226145842,-0.6486637225,-0.0242949840,0.0012402037,-0.0032767382,-0.2139407497,-0.2604623619,0.0123107439,-0.0580288000,0.0660128114,0.1324064874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-1111.7783907191,-270.5390699628,-5.1902340973,-0.6895065348,0.0470779265,0.0467095956,10.7044234726,-8.8258703637,-0.6485098382,-0.0250203440,0.0020653639,-0.0016216571,-0.2203744754,-0.2682011172,0.0136943202,-0.0626944000,0.3972995208,0.0357678765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-1111.6446199363,-270.6494351851,-5.1982204401,-0.6898192891,0.0471037435,0.0466893249,10.7016687917,-8.8292228777,-0.6483386592,-0.0258040240,0.0070316079,-0.0011745587,-0.2274249209,-0.2764801432,0.0124635441,-0.0676211200,-0.3425599469,-0.0885515935,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-1111.5108846817,-270.7598436131,-5.2061210032,-0.6901418394,0.0471916386,0.0466746429,10.6988259802,-8.8326788795,-0.6481828649,-0.0266492880,0.0027496086,-0.0022814536,-0.2349334267,-0.2854888603,0.0138465517,-0.0705952000,-0.5307682453,0.0817831697,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,-1111.3771861432,-270.8702966424,-5.2140663592,-0.6904749555,0.0472260087,0.0466461247,10.6958893123,-8.8362474902,-0.6480097830,-0.0275317280,-0.0038849945,-0.0012591640,-0.2428489187,-0.2948302984,0.0133043844,-0.0737529600,-0.0690751817,0.5951879718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,-1111.2435255468,-270.9807957414,-5.2221139922,-0.6908191021,0.0471774463,0.0466303852,10.6928537009,-8.8399328690,-0.6478434782,-0.0284536400,-0.0047484343,0.0061806857,-0.2504645688,-0.3051306700,0.0310778796,-0.0770278400,0.0233220491,0.2339742443,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,-1111.1099041853,-271.0913424344,-5.2301159795,-0.6911747726,0.0471180909,0.0467076437,10.6897228937,-8.8437470023,-0.6474550047,-0.0294164880,-0.0044569087,0.0091053637,-0.2589455078,-0.3154529888,0.0351831762,-0.0810643200,-0.1062065949,-0.4129948934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,-1110.9763233069,-271.2019383979,-5.2380902924,-0.6915424787,0.0470623795,0.0468214608,10.6864860749,-8.8476901647,-0.6470152150,-0.0304297920,-0.0057844911,0.0039429275,-0.2680809554,-0.3261425252,0.0338256962,-0.0855846400,0.0611195140,-0.4281994342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1750000000,-1110.8427843084,-271.3125853276,-5.2460486826,-0.6919228511,0.0469900734,0.0468707474,10.6831350630,-8.8517669463,-0.6465923938,-0.0314996000,-0.0050204972,-0.0014095654,-0.2778005139,-0.3373658451,0.0304718156,-0.0906809600,-1.1174641792,0.1051485005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1875000000,-1110.7092886972,-271.4232849862,-5.2539503528,-0.6923165961,0.0469273172,0.0468531278,10.6796625565,-8.8559840193,-0.6462114961,-0.0326331120,-0.0189887994,-0.0000952091,-0.2880085531,-0.3493320471,0.0296056721,-0.0958163200,-1.1473128752,-0.1819298479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
