timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-211.6772197762,274.2774202289,6.4536605865,2.1587143172,-0.0135473993,-0.0173897764,-5.3917392715,8.0890917838,0.1317067976,-0.0008712155,-0.0000706245,0.0004768698,0.0070525267,0.0046895881,0.0006865644,0.0029734378,-0.0024327548,-0.0372645218,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-211.7446092314,274.3785253314,6.4553022229,2.1587034270,-0.0135482821,-0.0173838156,-5.3916511149,8.0891504036,0.1317153797,-0.0008340475,-0.0001010340,0.0000110633,0.0067541402,0.0044857840,0.0009821845,0.0030176259,-0.0043956465,-0.0032571047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-211.8119976309,274.4796311341,6.4569438812,2.1586930014,-0.0135495450,-0.0173836773,-5.3915666881,8.0892064759,0.1317276570,-0.0007963272,-0.0001559795,-0.0000296505,0.0064530726,0.0042763206,0.0015163286,0.0030983003,0.0048379816,0.0031992008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-211.8793850217,274.5807376041,6.4585873142,2.1586830474,-0.0135514948,-0.0173840479,-5.3914860247,8.0892599299,0.1317466111,-0.0007575984,-0.0000955048,0.0000103395,0.0061354085,0.0040740818,0.0009284334,0.0031791221,0.0000543548,-0.0000458607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-211.9467714514,274.6818447069,6.4602360868,2.1586735774,-0.0135526886,-0.0173839187,-5.3914093321,8.0893108560,0.1317582165,-0.0007178594,-0.0000948253,0.0000097662,0.0058139346,0.0038598508,0.0009218284,0.0032429524,0.0004984591,-0.0009912815,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-212.0141569717,274.7829524111,6.4618848784,2.1586646041,-0.0135538739,-0.0173837966,-5.3913366579,8.0893591041,0.1317697394,-0.0006773225,-0.0000885946,-0.0000026248,0.0054855949,0.0036419357,0.0008612573,0.0032694786,0.0029529152,-0.0238895399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-212.0815416338,274.8840606826,6.4635336878,2.1586561376,-0.0135549813,-0.0173838294,-5.3912680880,8.0894046283,0.1317805051,-0.0006364540,-0.0000516832,-0.0003012440,0.0051523250,0.0034256061,0.0005024290,0.0036929709,-0.0032884090,-0.0072213800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-212.1489254895,274.9851694871,6.4651805839,2.1586481819,-0.0135556274,-0.0173875949,-5.3912036839,8.0894474484,0.1317867855,-0.0005902919,-0.0000927883,-0.0003915113,0.0047819286,0.0031721901,0.0009020253,0.0042631395,0.0000748016,-0.0000534895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-212.2163085980,275.0862787871,6.4668259240,2.1586408033,-0.0135567872,-0.0173924888,-5.3911439098,8.0894871007,0.1317980608,-0.0005370026,-0.0000918533,-0.0003921799,0.0043507995,0.0028849695,0.0008929357,0.0046094959,0.0000802259,-0.0000624826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-212.2836910256,275.1873885362,6.4684712782,2.1586340907,-0.0135579354,-0.0173973911,-5.3910895248,8.0895231629,0.1318092225,-0.0004793839,-0.0000908504,-0.0003929609,0.0038846363,0.0025744249,0.0008831869,0.0051431849,0.0016324351,0.0032360874,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
