timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-175.2509315552,213.1529662354,5.4030095968,2.1566195009,-0.0142546573,-0.0180302894,-9.2138219072,13.8862098621,0.2375695765,0.0019079454,0.0000577838,0.0004672733,-0.0265015109,-0.0175683471,-0.0009629650,0.0105569378,-0.0024537128,-0.0401077572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-175.3660967672,213.3265234773,5.4059790215,2.1566433502,-0.0142539350,-0.0180244485,-9.2141531761,13.8859902578,0.2375575395,0.0020399071,0.0000271124,-0.0000340737,-0.0283294524,-0.0187910115,-0.0004518268,0.0105536550,0.0000650459,0.0000308330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-175.4812664070,213.5000777862,5.4089482805,2.1566688490,-0.0142535961,-0.0180248744,-9.2145072943,13.8857553702,0.2375518916,0.0021718278,0.0000279254,-0.0000336883,-0.0301608665,-0.0200072055,-0.0004653766,0.0091891959,0.0001953678,-0.0000671735,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-175.5964407596,213.6736289700,5.4119173906,2.1566959969,-0.0142532471,-0.0180252955,-9.2148843051,13.8855052801,0.2375460744,0.0022866928,0.0000303675,-0.0000345279,-0.0317555725,-0.0210660529,-0.0005060741,0.0099836144,0.0005245115,0.0001685643,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-175.7116200740,213.8471768635,5.4148863934,2.1567245805,-0.0142528675,-0.0180257271,-9.2152812498,13.8852419544,0.2375397485,0.0024114880,0.0000369239,-0.0000324209,-0.0334886091,-0.0222157368,-0.0006153363,0.0098956021,0.0009809217,-0.0004663449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-175.8268046209,214.0207212868,5.4178553626,2.1567547241,-0.0142524059,-0.0180261324,-9.2156998574,13.8849642577,0.2375320568,0.0025351830,0.0000491854,-0.0000382502,-0.0352070159,-0.0233543095,-0.0008196742,0.0100387503,0.0005398925,-0.0009121445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-175.9419946689,214.1942620621,5.4208245041,2.1567864139,-0.0142517911,-0.0180266105,-9.2161399451,13.8846723289,0.2375218109,0.0026606674,0.0000559341,-0.0000496520,-0.0369494342,-0.0245106286,-0.0009321404,0.0093398623,-0.0003558776,0.0009868311,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-176.0571904905,214.3677990094,5.4237934257,2.1568196723,-0.0142510919,-0.0180272312,-9.2166018130,13.8843659460,0.2375101591,0.0027774156,0.0000514856,-0.0000373166,-0.0385689740,-0.0255888159,-0.0008580068,0.0062702161,-0.0000566468,-0.0000452340,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-176.1723923391,214.5413319607,5.4267621671,2.1568543900,-0.0142504484,-0.0180276976,-9.2170839252,13.8840460858,0.2374994340,0.0028557933,0.0000507775,-0.0000378820,-0.0396561668,-0.0263127479,-0.0008462066,0.0060090756,0.0002233467,0.0001606235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-176.2876003845,214.7148608026,5.4297307478,2.1568900874,-0.0142498136,-0.0180281712,-9.2175796273,13.8837171764,0.2374888564,0.0029309068,0.0000535694,-0.0000358742,-0.0406984231,-0.0270060137,-0.0008927324,0.0041510293,0.0012326269,0.0007648350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,-176.4028147893,214.8883854267,5.4326992458,2.1569267237,-0.0142491440,-0.0180286196,-9.2180883576,13.8833796013,0.2374776973,0.0029827947,0.0000689772,-0.0000263138,-0.0414198189,-0.0274827911,-0.0011495036,0.0029234967,-0.0020119793,-0.0003519682,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,-176.5180356661,215.0619057583,5.4356681679,2.1569640086,-0.0142482818,-0.0180289485,-9.2186061053,13.8830360664,0.2374633285,0.0030193384,0.0000438275,-0.0000307134,-0.0419228155,-0.0278262124,-0.0007303838,-0.0006112891,-0.0000865578,-0.0019848433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,-176.6332630946,215.2354217454,5.4386361175,2.1570017504,-0.0142477340,-0.0180293324,-9.2191301405,13.8826882387,0.2374541987,0.0030116973,0.0000427455,-0.0000555240,-0.0418155467,-0.0277575608,-0.0007123528,-0.0002319751,0.0012570704,0.0020562336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,-176.7484970570,215.4089333972,5.4416037223,2.1570393966,-0.0142471996,-0.0180300265,-9.2196528348,13.8823412692,0.2374452943,0.0030087976,0.0000584589,-0.0000298210,-0.0417763125,-0.0277292920,-0.0009742159,-0.0022476159,-0.0006947067,-0.0017870081,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1750000000,-176.8637375469,215.5824407176,5.4445717297,2.1570770066,-0.0142464689,-0.0180303992,-9.2201750387,13.8819946531,0.2374331166,0.0029807024,0.0000497751,-0.0000521586,-0.0413841212,-0.0274735242,-0.0008295000,-0.0038705619,0.0005592584,0.0009833734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1875000000,-176.9789845038,215.7559437478,5.4475392186,2.1571142653,-0.0142458467,-0.0180310512,-9.2206923403,13.8816512340,0.2374227478,0.0029323203,0.0000567658,-0.0000398665,-0.0407124101,-0.0270275438,-0.0009460004,-0.0043151522,0.0006164872,-0.0006793422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2000000000,-177.0942378222,215.9294425566,5.4505068655,2.1571509193,-0.0142451371,-0.0180315496,-9.2212012454,13.8813133897,0.2374109228,0.0028783809,0.0000644719,-0.0000483582,-0.0399637000,-0.0265300998,-0.0010744222,-0.0055065420,-0.0003361503,0.0005863729,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2125000000,-177.2094973853,216.1029372221,5.4534745530,2.1571868991,-0.0142443312,-0.0180321540,-9.2217007916,13.8809817635,0.2373974926,0.0028095492,0.0000602700,-0.0000410286,-0.0390067634,-0.0258975895,-0.0010043980,-0.0073931603,-0.0007028727,0.0013260319,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2250000000,-177.3247630441,216.2764278435,5.4564421086,2.1572220185,-0.0142435779,-0.0180326669,-9.2221883762,13.8806580436,0.2373849376,0.0027171347,0.0000514841,-0.0000244532,-0.0377219550,-0.0250483890,-0.0008579810,-0.0070211181,-0.0001396335,-0.0003889562,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2375000000,-177.4400345977,216.4499145537,5.4594094681,2.1572559827,-0.0142429343,-0.0180329726,-9.2226599006,13.8803449387,0.2373742128,0.0026293707,0.0000497387,-0.0000293151,-0.0365027077,-0.0242405579,-0.0008288937,-0.0084929260,-0.0007309573,-0.0011168823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2500000000,-177.5553118553,216.6233974784,5.4623766247,2.1572888498,-0.0142423126,-0.0180333390,-9.2231161845,13.8800419318,0.2373638516,0.0025232091,0.0000406017,-0.0000432762,-0.0350272151,-0.0232643765,-0.0006766264,-0.0108919092,-0.0002284831,0.0000868838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2625000000,-177.6705945866,216.7968767702,5.4653434712,2.1573203899,-0.0142418051,-0.0180338800,-9.2235540246,13.8797511271,0.2373553938,0.0023870602,0.0000377457,-0.0000421901,-0.0331364324,-0.0220102119,-0.0006290306,-0.0099289175,0.0001390179,0.0007712766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2750000000,-177.7858824959,216.9703526245,5.4683101979,2.1573502282,-0.0142413332,-0.0180344073,-9.2239682300,13.8794759994,0.2373475309,0.0022629488,0.0000394834,-0.0000325492,-0.0314134351,-0.0208660072,-0.0006579897,-0.0105697709,-0.0006027963,0.0005816841,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2875000000,-177.9011753137,217.1438252200,5.4712769674,2.1573785150,-0.0142408397,-0.0180348142,-9.2243608980,13.8792151743,0.2373393061,0.0021308266,0.0000319484,-0.0000252781,-0.0295781369,-0.0196495929,-0.0005324199,-0.0132384262,-0.0000706657,-0.0004226390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3000000000,-178.0164727536,217.3172947471,5.4742436400,2.1574051503,-0.0142404403,-0.0180351302,-9.2247306247,13.8789695544,0.2373326508,0.0019653463,0.0000310651,-0.0000305611,-0.0272808401,-0.0181239853,-0.0005176994,-0.0114684882,0.0001012327,0.0005422308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3125000000,-178.1317744564,217.4907614435,5.4772102226,2.1574297172,-0.0142400520,-0.0180355122,-9.2250716352,13.8787430046,0.2373261796,0.0018219902,0.0000323305,-0.0000237832,-0.0252909900,-0.0168018883,-0.0005387874,-0.0131887530,-0.0003525411,-0.0000580884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3250000000,-178.2470801111,217.6642255158,5.4801768332,2.1574524921,-0.0142396479,-0.0180358095,-9.2253877726,13.8785329810,0.2373194447,0.0016571308,0.0000279238,-0.0000245093,-0.0230020546,-0.0152823937,-0.0004653487,-0.0142211427,-0.0002512179,0.0002138690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3375000000,-178.3623893603,217.8376872017,5.4831433123,2.1574732062,-0.0142392989,-0.0180361158,-9.2256752983,13.8783419511,0.2373136279,0.0014793665,0.0000247835,-0.0000218360,-0.0205342842,-0.0136434470,-0.0004130170,-0.0127589210,-0.0003037197,0.0009830440,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
