timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,56.1088349241,198.2507998718,0.4441718010,3.1405744553,-0.0055010174,-0.0639772014,-13.3331246811,0.0135757694,0.0733465292,0.0000000000,0.0009261198,-0.0000003245,-0.0000678582,0.0000000720,-0.0123484480,0.0000000000,0.0000000235,0.0000000012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,55.9421733873,198.2509695664,0.4451097641,3.1405744553,-0.0054894409,-0.0639772055,-13.3331255294,0.0135757703,0.0731921736,0.0000000000,0.0009261201,-0.0000003244,-0.0000677190,0.0000000720,-0.0123480800,0.0000000000,0.0000000235,-0.0000000033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,55.7755118293,198.2511392609,0.4460477274,3.1405744553,-0.0054778644,-0.0639772095,-13.3331263758,0.0135757712,0.0730378226,0.0000000000,0.0009261204,-0.0000003245,-0.0000675691,0.0000000640,-0.0123480880,0.0000000000,0.0128682393,-0.0003027657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,55.6088502501,198.2513089555,0.4469856908,3.1405744553,-0.0054662879,-0.0639772136,-13.3331272204,0.0135757720,0.0728834715,0.0000000000,0.0010869734,-0.0000041090,-0.0000791218,0.0000000800,-0.0144928080,0.0000000000,0.0197059401,0.0002922664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,55.4421886499,198.2514786501,0.4479178566,3.1405744553,-0.0054527008,-0.0639772650,-13.3331282095,0.0135757730,0.0727023114,0.0000000000,0.0013332977,-0.0000004557,-0.0000967900,0.0000001040,-0.0177771360,0.0000000000,0.0000000480,0.0000000015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,55.2755270249,198.2516483448,0.4488409966,3.1405744553,-0.0054360345,-0.0639772707,-13.3331294193,0.0135757743,0.0724800972,0.0000000000,0.0013332983,-0.0000004557,-0.0000964872,0.0000000960,-0.0177770480,0.0000000000,0.0000000478,-0.0000000007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,55.1088653696,198.2518180394,0.4497641368,3.1405744553,-0.0054193683,-0.0639772763,-13.3331306254,0.0135757755,0.0722578841,0.0000000000,0.0013332989,-0.0000004557,-0.0000961918,0.0000000960,-0.0177770560,0.0000000000,0.0000000476,-0.0000000012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,54.9422036842,198.2519877341,0.4506872772,3.1405744553,-0.0054027021,-0.0639772820,-13.3331318278,0.0135757767,0.0720356709,0.0000000000,0.0013332995,-0.0000004557,-0.0000958958,0.0000000960,-0.0177770640,0.0000000000,0.0000000473,0.0000000006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,54.7755419688,198.2521574289,0.4516104178,3.1405744553,-0.0053860358,-0.0639772877,-13.3331330265,0.0135757779,0.0718134576,0.0000000000,0.0013333001,-0.0000004557,-0.0000955997,0.0000001040,-0.0177770720,0.0000000000,-0.0165796301,-0.0001241662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,54.6088802233,198.2523271236,0.4525335585,3.1405744553,-0.0053693696,-0.0639772934,-13.3331342215,0.0135757792,0.0715912442,0.0000000000,0.0011260547,-0.0000020078,-0.0000805089,0.0000000800,-0.0150137680,0.0000000000,-0.0258883403,0.0001389220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,54.4422184480,198.2524968184,0.4534489272,3.1405744553,-0.0053552939,-0.0639773185,-13.3331352279,0.0135757802,0.0714035721,0.0000000000,0.0008024504,-0.0000002713,-0.0000572460,0.0000000560,-0.0106990640,0.0000000000,0.0000000168,0.0000000042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,54.2755566476,198.2526665133,0.4543521602,3.1405744553,-0.0053452633,-0.0639773219,-13.3331359435,0.0135757809,0.0712698338,0.0000000000,0.0008024506,-0.0000002712,-0.0000571414,0.0000000640,-0.0106991920,0.0000000000,0.0000000154,0.0000000041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,54.1088948292,198.2528362081,0.4552553933,3.1405744553,-0.0053352326,-0.0639773253,-13.3331366577,0.0135757817,0.0711360939,0.0000000000,0.0008024508,-0.0000002712,-0.0000570287,0.0000000560,-0.0106991920,0.0000000000,0.0000000171,-0.0000000008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,53.9422329930,198.2530059029,0.4561586265,3.1405744553,-0.0053252020,-0.0639773287,-13.3331373705,0.0135757824,0.0710023540,0.0000000000,0.0008024510,-0.0000002712,-0.0000569167,0.0000000560,-0.0106991921,0.0000000000,0.0000000170,-0.0000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
