timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,-335.4735512540,-194.0381919846,-0.0817848099,-0.2053862440,-0.0004002143,-0.0639930986,13.5969750903,-2.8325733997,0.0055585347,0.0384393200,-0.0032921839,-0.0001275416,0.1087377696,0.5226884477,0.0457245840,0.1530988800,0.0093045291,0.0012216941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,-335.3035720858,-194.0735174798,-0.0817941949,-0.2049057525,-0.0004413666,-0.0639946929,13.5983343124,-2.8260397941,0.0061300920,0.0403530560,-0.0031758773,-0.0001122704,0.1138810378,0.5487672964,0.0441094000,0.1516409600,0.0092161635,0.0012755278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,-335.1335751264,-194.1087572295,-0.0818089037,-0.2044013393,-0.0004810651,-0.0639960962,13.5997578254,-2.8191802029,0.0066814595,0.0422485680,-0.0030606752,-0.0000963263,0.1189337821,0.5746060244,0.0425093680,0.1497446400,0.0091011646,0.0013264718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,-334.9635595866,-194.1439071965,-0.0818291865,-0.2038732322,-0.0005193235,-0.0639973003,13.6012444977,-2.8119976276,0.0072128266,0.0441203760,-0.0029469107,-0.0000797454,0.1238793413,0.6001305749,0.0409293120,0.1474457600,0.0089617084,0.0013764439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,-334.7935246938,-194.1789633924,-0.0818552902,-0.2033217275,-0.0005561599,-0.0639982971,13.6027929894,-2.8044959954,0.0077244430,0.0459634480,-0.0028348893,-0.0000625399,0.1287025671,0.6252728882,0.0393734560,0.1447827200,0.1147495853,0.0000852709,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,-334.6234696945,-194.2139218887,-0.0818874579,-0.2027471844,-0.0005915960,-0.0639990789,13.6044017715,-2.7966800843,0.0082166112,0.0477732320,-0.0014005195,-0.0000614740,0.1334009251,0.6499683686,0.0194516400,0.1417830400,0.1278128956,-0.0069330326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,-334.4533938565,-194.2487788265,-0.0818762647,-0.2021500190,-0.0006091025,-0.0639998473,13.6060692831,-2.7885554797,0.0084597567,0.0495455200,0.0001971417,-0.0001481369,0.1379533181,0.6741622404,-0.0027381040,0.1384844800,0.0084182781,0.0014784954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,-334.2832964670,-194.2835304256,-0.0818157355,-0.2015307000,-0.0006066382,-0.0640016990,13.6077936996,-2.7801284517,0.0084255304,0.0512765760,0.0003023702,-0.0001296557,0.1423343353,0.6978062145,-0.0041995840,0.1349152000,0.0082015221,0.0015244460,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,-334.1131768377,-194.3181729926,-0.0817619712,-0.2008897428,-0.0006028586,-0.0640033197,13.6095728787,-2.7714058740,0.0083730356,0.0529630160,0.0004048892,-0.0001106001,0.1465466941,0.7208518260,-0.0056234560,0.1311046400,0.0079700868,0.0015689132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,-333.9430343103,-194.3527029266,-0.0817151943,-0.2002277051,-0.0005977975,-0.0640047022,13.6114047125,-2.7623952262,0.0083027424,0.0546018240,0.0005045153,-0.0000909887,0.1505822655,0.7432581021,-0.0070071600,0.1270835200,0.0077258418,0.0016117809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,-333.7728682539,-194.3871167265,-0.0816756211,-0.1995451823,-0.0005914910,-0.0640058396,13.6132869907,-2.7531044999,0.0082151529,0.0561903680,0.0006010883,-0.0000708414,0.1544341174,0.7649889365,-0.0083484480,0.1228793600,-0.1970709294,0.0273299553,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
