timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,86.4277622642,-197.7711909367,-0.2810229968,0.0000000000,-0.0034117699,-0.0601272569,18.0554504708,0.0000000000,0.0616012815,0.0000000000,0.0000544154,-0.0000000111,0.0000033518,0.0000000000,-0.0009825040,0.0000000000,0.0000000200,-0.0000000405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,86.6534540815,-197.7711909367,-0.2802522008,0.0000000000,-0.0034110897,-0.0601272570,18.0554505127,0.0000000000,0.0615890002,0.0000000000,0.0000544157,-0.0000000116,0.0000033513,0.0000000000,-0.0009825040,0.0000000000,0.0000000000,-0.0000000019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,86.8791458999,-197.7711909367,-0.2794814049,0.0000000000,-0.0034104095,-0.0601272572,18.0554505545,0.0000000000,0.0615767189,0.0000000000,0.0000544157,-0.0000000116,0.0000033433,0.0000000000,-0.0009824960,0.0000000000,0.0010572460,0.0001475255,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,87.1048377193,-197.7711909367,-0.2787106089,0.0000000000,-0.0034097293,-0.0601272573,18.0554505964,0.0000000000,0.0615644377,0.0000000000,0.0000676313,0.0000018324,0.0000041648,0.0000000000,-0.0012211200,0.0000000000,0.0037484767,0.0006001957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,87.3305295398,-197.7711909367,-0.2779398130,0.0000000000,-0.0034088839,-0.0601272344,18.0554506485,0.0000000000,0.0615491737,0.0000000000,0.0001144872,0.0000093349,0.0000070500,0.0000000000,-0.0020671280,0.0000000000,0.0000453117,-0.0000965110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,87.5562213616,-197.7711909367,-0.2771690171,0.0000000000,-0.0034074528,-0.0601271177,18.0554507365,0.0000000000,0.0615233346,0.0000000000,0.0001150536,0.0000081285,0.0000070718,0.0000000000,-0.0020773440,0.0000000000,0.0003063523,-0.0006522516,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,87.7819131856,-197.7711909367,-0.2763982212,0.0000000000,-0.0034060147,-0.0601270161,18.0554508250,0.0000000000,0.0614973678,0.0000000000,0.0001188830,-0.0000000246,0.0000073124,0.0000000000,-0.0021464880,0.0000000000,0.0000000002,0.0000000020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,88.0076050118,-197.7711909367,-0.2756274252,0.0000000000,-0.0034045286,-0.0601270164,18.0554509164,0.0000000000,0.0614705367,0.0000000000,0.0001188830,-0.0000000246,0.0000073088,0.0000000000,-0.0021464800,0.0000000000,-0.0034298662,-0.0000192792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,88.2332968402,-197.7711909367,-0.2748566293,0.0000000000,-0.0034030426,-0.0601270168,18.0554510077,0.0000000000,0.0614437057,0.0000000000,0.0000760097,-0.0000002656,0.0000046675,0.0000000000,-0.0013723840,0.0000000000,-0.0009233508,0.0000202003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,88.4589886710,-197.7711909367,-0.2740874411,0.0000000000,-0.0034020925,-0.0601270201,18.0554510661,0.0000000000,0.0614265509,0.0000000000,0.0000644678,-0.0000000131,0.0000039619,0.0000000000,-0.0011639920,0.0000000000,0.0000000001,0.0000000020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,88.6846805032,-197.7711909367,-0.2733186857,0.0000000000,-0.0034012866,-0.0601270202,18.0554511155,0.0000000000,0.0614120010,0.0000000000,0.0000644678,-0.0000000131,0.0000039511,0.0000000000,-0.0011640000,0.0000000000,0.0000555574,-0.0001182826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,88.9103723366,-197.7711909367,-0.2725499303,0.0000000000,-0.0034004808,-0.0601270204,18.0554511650,0.0000000000,0.0613974510,0.0000000000,0.0000651623,-0.0000014916,0.0000040017,0.0000000000,-0.0011765280,0.0000000000,0.0022793510,-0.0003143962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,89.1360641713,-197.7711909367,-0.2717811750,0.0000000000,-0.0033996662,-0.0601270390,18.0554512150,0.0000000000,0.0613827444,0.0000000000,0.0000936542,-0.0000054216,0.0000057475,0.0000000000,-0.0016909760,0.0000000000,0.0030225862,0.0017168745,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,89.3617560073,-197.7711909367,-0.2710124196,0.0000000000,-0.0033984956,-0.0601271068,18.0554512869,0.0000000000,0.0613616072,0.0000000000,0.0001314365,0.0000160394,0.0000080674,0.0000000000,-0.0023731520,0.0000000000,0.0005824775,-0.0012401468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1750000000,89.5874478450,-197.7711909367,-0.2702436643,0.0000000000,-0.0033968526,-0.0601269063,18.0554513877,0.0000000000,0.0613319428,0.0000000000,0.0001387175,0.0000005375,0.0000085064,0.0000000000,-0.0025046080,0.0000000000,0.0000212660,-0.0000452977,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1875000000,89.8131396853,-197.7711909367,-0.2694749089,0.0000000000,-0.0033951186,-0.0601268996,18.0554514940,0.0000000000,0.0613006352,0.0000000000,0.0001389833,-0.0000000287,0.0000085159,0.0000000000,-0.0025094080,0.0000000000,0.0000000003,-0.0000000020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2000000000,90.0388315282,-197.7711909367,-0.2687061535,0.0000000000,-0.0033933814,-0.0601269000,18.0554516005,0.0000000000,0.0612692676,0.0000000000,0.0001389833,-0.0000000287,0.0000085156,0.0000000000,-0.0025094080,0.0000000000,-0.0044578533,0.0006784696,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2125000000,90.2645233737,-197.7711909367,-0.2679373981,0.0000000000,-0.0033916441,-0.0601269003,18.0554517069,0.0000000000,0.0612379000,0.0000000000,0.0000832601,0.0000084522,0.0000050966,0.0000000000,-0.0015032880,0.0000000000,-0.0003478704,0.0000712034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2250000000,90.4902152220,-197.7711909367,-0.2671707324,0.0000000000,-0.0033906033,-0.0601267947,18.0554517706,0.0000000000,0.0612191089,0.0000000000,0.0000789117,0.0000093422,0.0000048283,0.0000000000,-0.0014247840,0.0000000000,-0.0002941759,-0.0006261763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2375000000,90.7159070718,-197.7711909367,-0.2664042298,0.0000000000,-0.0033896169,-0.0601266779,18.0554518310,0.0000000000,0.0612012991,0.0000000000,0.0000752345,0.0000015150,0.0000046056,0.0000000000,-0.0013583920,0.0000000000,0.0004696405,-0.0012446922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2500000000,90.9415989231,-197.7711909367,-0.2656378650,0.0000000000,-0.0033886765,-0.0601266590,18.0554518885,0.0000000000,0.0611843192,0.0000000000,0.0000811050,-0.0000140437,0.0000049578,0.0000000000,-0.0014643920,0.0000000000,-0.1333676374,-0.2883891857,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2625000000,91.1672907759,-197.7711909367,-0.2648715271,0.0000000000,-0.0033876627,-0.0601268345,18.0554519505,0.0000000000,0.0611660143,0.0000000000,-0.0015859904,-0.0036189085,-0.0000973131,0.0000000000,0.0286413200,0.0000000000,0.1393628816,0.2900274585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2750000000,91.3929826303,-197.7711909367,-0.2641051706,0.0000000000,-0.0034074875,-0.0601720709,18.0554507342,0.0000000000,0.0615240308,0.0000000000,0.0001560456,0.0000064348,0.0000096243,0.0000000000,-0.0028230640,0.0000000000,0.0002430840,-0.0005173513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2875000000,91.6186744542,-197.7711909367,-0.2633388329,0.0000000000,-0.0034055370,-0.0601719904,18.0554508544,0.0000000000,0.0614887425,0.0000000000,0.0001590842,-0.0000000321,0.0000097781,0.0000000000,-0.0028723040,0.0000000000,0.0000000004,0.0000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
