time,centroid_x,FRwheel_x,FRwheel_z,RRwheel_x,floor_x,floor_z
0,0.004,89.042,88.522,90.865,-27.696,-31.854
0.02,-0.082,89.14,88.422,91.259,-27.696,-31.973
0.04,0.02,89.042,88.422,91.161,-27.667,-31.824
0.06,-0.092,88.943,88.422,90.865,-27.696,-32.003
0.08,-0.007,88.943,88.82,91.161,-27.638,-31.884
0.1,-0.043,89.042,88.621,91.062,-27.726,-31.943
0.12,-0.066,89.042,88.522,91.259,-27.696,-31.914
0.14,-0.043,88.943,88.522,90.963,-27.667,-31.914
0.16,-0.101,89.042,88.422,91.062,-27.609,-31.973
0.18,0.026,89.042,88.621,91.259,-27.696,-31.795
0.2,-0.133,89.14,88.522,91.161,-27.755,-31.914
0.22,0.008,89.042,88.72,91.259,-27.696,-31.824
0.24,-0.047,89.042,88.422,91.062,-27.667,-32.003
0.26,-0.017,88.943,88.621,91.062,-27.667,-31.884
0.28,-0.058,89.042,88.621,90.963,-27.696,-31.914
0.3,-0.07,88.943,88.522,91.161,-27.696,-31.914
0.32,-0.023,88.943,88.621,91.062,-27.696,-31.795
0.34,-0.133,89.042,88.422,91.062,-27.609,-31.914
0.36,0.065,88.844,88.522,91.062,-27.609,-31.824
0.38,-0.082,88.844,88.422,91.161,-27.667,-32.032
0.4,0.006,89.042,88.422,91.161,-27.667,-31.824
0.42,-0.062,88.844,88.422,91.062,-27.755,-31.914
0.44,-0.019,88.844,88.522,91.062,-27.638,-31.943
0.46,-0.029,88.844,88.422,90.963,-27.638,-31.824
0.48,-0.092,89.042,88.422,91.161,-27.667,-31.914
0.5,0.03,88.844,88.621,91.062,-27.696,-31.824
0.52,-0.092,89.239,88.422,91.358,-27.696,-31.973
0.54,0.014,88.844,88.422,91.259,-27.667,-31.824
0.56,-0.047,88.943,88.422,91.062,-27.609,-32.003
0.58,0.008,89.042,88.621,91.062,-27.667,-31.884
0.6,-0.062,88.844,88.422,91.062,-27.726,-31.914
0.62,-0.039,89.042,88.422,91.161,-27.609,-31.824
0.64,-0.013,88.943,88.422,91.062,-27.609,-31.914
0.66,-0.074,88.943,88.422,91.062,-27.696,-31.943
0.68,0.008,89.042,88.621,91.062,-27.667,-31.795
0.7,-0.084,88.844,88.422,91.161,-27.696,-31.973
0.72,0.04,89.042,88.422,91.062,-27.609,-31.795
0.74,-0.078,88.943,88.224,91.062,-27.755,-31.914
0.76,0.012,88.943,88.621,91.161,-27.696,-31.795
0.78,-0.041,89.042,88.323,91.062,-27.667,-31.973
0.8,-0.033,89.042,88.422,91.259,-27.667,-31.914
0.82,-0.023,89.042,88.422,91.062,-27.696,-31.884
0.84,-0.096,89.042,88.522,91.062,-27.667,-31.914
0.86,0.044,88.844,88.422,91.161,-27.696,-31.884
0.88,-0.115,88.943,88.422,91.161,-27.638,-31.884
0.9,0.024,89.042,88.422,91.062,-27.638,-31.884
0.92,-0.064,88.943,88.323,91.062,-27.609,-31.973
0.94,-0.009,89.042,88.621,91.062,-27.667,-31.824
0.96,-0.052,88.844,88.621,90.865,-27.638,-31.884
0.98,-0.023,89.042,88.224,91.161,-27.551,-31.914
1,-0.013,88.647,88.522,90.865,-27.696,-31.824
1.02,-0.111,88.844,88.422,90.963,-27.667,-31.914
1.04,0.03,88.844,88.422,91.161,-27.667,-31.854
1.06,-0.076,89.042,88.522,91.062,-27.609,-31.973
1.08,0.02,88.746,88.522,90.963,-27.755,-31.824
1.1,-0.06,88.746,88.422,91.259,-27.609,-31.914
1.12,-0.009,89.042,88.522,91.161,-27.696,-31.824
1.14,-0.033,89.042,88.422,90.963,-27.696,-31.824
1.16,-0.064,88.943,88.621,91.062,-27.638,-31.914
1.18,0.01,88.943,88.422,91.062,-27.696,-31.914
1.2,-0.078,88.844,88.323,91.259,-27.609,-31.973
1.22,0.018,88.943,88.621,90.865,-27.667,-31.765
1.24,-0.072,88.844,88.224,91.062,-27.667,-31.973
1.26,0.034,89.042,88.422,91.062,-27.609,-31.884
1.28,-0.054,88.844,88.422,90.865,-27.638,-31.914
1.3,-0.019,89.042,88.522,91.259,-27.696,-31.884
1.32,-0.023,88.844,88.224,90.865,-27.726,-31.943
1.34,-0.074,88.943,88.422,91.161,-27.638,-31.824
1.36,0.002,88.844,88.522,91.062,-27.726,-31.854
1.38,-0.094,88.943,88.422,91.161,-27.667,-31.943
1.4,0.04,88.844,88.422,91.062,-27.667,-31.854
1.42,-0.105,88.844,88.323,90.865,-27.667,-31.973
1.44,0.02,89.042,88.422,91.062,-27.696,-31.824
1.46,-0.047,88.844,88.522,90.963,-27.696,-31.973
1.48,-0.015,89.042,88.522,91.161,-27.609,-31.914
1.5,-0.019,88.943,88.522,91.062,-27.638,-31.884
1.52,-0.07,89.042,88.422,91.062,-27.696,-31.914
1.54,0.012,89.042,88.522,90.963,-27.696,-31.824
1.56,-0.127,88.844,88.522,91.062,-27.638,-31.973
1.58,0.053,89.042,88.422,91.161,-27.609,-31.765
1.6,-0.054,89.042,88.422,91.161,-27.696,-31.914
1.62,-0.031,88.943,88.522,91.062,-27.726,-31.824
1.64,-0.076,89.042,88.422,90.963,-27.726,-31.824
1.66,0.002,89.042,88.422,90.865,-27.58,-31.973
1.68,0.002,88.943,88.522,91.062,-27.667,-31.914
1.7,-0.096,89.042,88.422,91.062,-27.696,-31.914
1.72,0.053,88.943,88.422,91.062,-27.696,-31.854
1.74,-0.058,88.844,88.422,91.161,-27.667,-32.003
1.76,0.028,88.746,88.422,91.062,-27.696,-31.854
1.78,-0.043,88.943,88.422,91.062,-27.638,-31.914
1.8,-0.005,88.943,88.422,90.963,-27.696,-31.824
