time,centroid_x,centroid_y,FRwheel_x,FRwheel_z,RRwheel_x,floor_x,floor_z,velocity
0,0.004,-0.208,89.042,88.522,90.865,-27.696,-31.854,0
0.02,-0.082,-0.306,89.14,88.422,91.259,-27.696,-31.973,0
0.04,0.02,-0.085,89.042,88.422,91.161,-27.667,-31.824,0
0.06,-0.092,-0.518,88.943,88.422,90.865,-27.696,-32.003,0
0.08,-0.007,0.053,88.943,88.82,91.161,-27.638,-31.884,0
0.1,-0.043,-0.365,89.042,88.621,91.062,-27.726,-31.943,0
0.12,-0.066,0.068,89.042,88.522,91.259,-27.696,-31.914,0
0.14,-0.043,-0.226,88.943,88.522,90.963,-27.667,-31.914,0
0.16,-0.101,-0.024,89.042,88.422,91.062,-27.609,-31.973,0
0.18,0.026,-0.147,89.042,88.621,91.259,-27.696,-31.795,0
0.2,-0.133,-0.359,89.14,88.522,91.161,-27.755,-31.914,0
0.22,0.008,-0.069,89.042,88.72,91.259,-27.696,-31.824,0
0.24,-0.047,-0.43,89.042,88.422,91.062,-27.667,-32.003,0
0.26,-0.017,0.002,88.943,88.621,91.062,-27.667,-31.884,0
0.28,-0.058,-0.33,89.042,88.621,90.963,-27.696,-31.914,0
0.3,-0.07,0.106,88.943,88.522,91.161,-27.696,-31.914,0
0.32,-0.023,-0.257,88.943,88.621,91.062,-27.696,-31.795,0
0.34,-0.133,-0.071,89.042,88.422,91.062,-27.609,-31.914,0
0.36,0.065,-0.096,88.844,88.522,91.062,-27.609,-31.824,0
0.38,-0.082,-0.277,88.844,88.422,91.161,-27.667,-32.032,0
0.4,0.006,-0.102,89.042,88.422,91.161,-27.667,-31.824,0
0.42,-0.062,-0.422,88.844,88.422,91.062,-27.755,-31.914,0
0.44,-0.019,0.117,88.844,88.522,91.062,-27.638,-31.943,0
0.46,-0.029,-0.357,88.844,88.422,90.963,-27.638,-31.824,0
0.48,-0.092,0.133,89.042,88.422,91.161,-27.667,-31.914,0
0.5,0.03,-0.216,88.844,88.621,91.062,-27.696,-31.824,0
0.52,-0.092,-0.085,89.239,88.422,91.358,-27.696,-31.973,0
0.54,0.014,-0.216,88.844,88.422,91.259,-27.667,-31.824,0
0.56,-0.047,-0.357,88.943,88.422,91.062,-27.609,-32.003,0
0.58,0.008,0.017,89.042,88.621,91.062,-27.667,-31.884,0
0.6,-0.062,-0.486,88.844,88.422,91.062,-27.726,-31.914,0
0.62,-0.039,0.143,89.042,88.422,91.161,-27.609,-31.824,0
0.64,-0.013,-0.339,88.943,88.422,91.062,-27.609,-31.914,0
0.66,-0.074,0.092,88.943,88.422,91.062,-27.696,-31.943,0
0.68,0.008,-0.292,89.042,88.621,91.062,-27.667,-31.795,0
0.7,-0.084,-0.161,88.844,88.422,91.161,-27.696,-31.973,0
0.72,0.04,-0.139,89.042,88.422,91.062,-27.609,-31.795,0
0.74,-0.078,-0.492,88.943,88.224,91.062,-27.755,-31.914,0
0.76,0.012,0.047,88.943,88.621,91.161,-27.696,-31.795,0
0.78,-0.041,-0.445,89.042,88.323,91.062,-27.667,-31.973,0
0.8,-0.033,0.164,89.042,88.422,91.259,-27.667,-31.914,0
0.82,-0.023,-0.3,89.042,88.422,91.062,-27.696,-31.884,0
0.84,-0.096,0.117,89.042,88.522,91.062,-27.667,-31.914,0
0.86,0.044,-0.187,88.844,88.422,91.161,-27.696,-31.884,0
0.88,-0.115,-0.257,88.943,88.422,91.161,-27.638,-31.884,0
0.9,0.024,-0.047,89.042,88.422,91.062,-27.638,-31.884,0
0.92,-0.064,-0.424,88.943,88.323,91.062,-27.609,-31.973,0
0.94,-0.009,0.006,89.042,88.621,91.062,-27.667,-31.824,0
0.96,-0.052,-0.416,88.844,88.621,90.865,-27.638,-31.884,0
0.98,-0.023,0.194,89.042,88.224,91.161,-27.551,-31.914,0
1,-0.013,-0.288,88.647,88.522,90.865,-27.696,-31.824,0
1.02,-0.111,0.027,88.844,88.422,90.963,-27.667,-31.914,0
1.04,0.03,-0.106,88.844,88.422,91.161,-27.667,-31.854,0
1.06,-0.076,-0.239,89.042,88.522,91.062,-27.609,-31.973,0
1.08,0.02,-0.11,88.746,88.522,90.963,-27.755,-31.824,0
1.1,-0.06,-0.416,88.746,88.422,91.259,-27.609,-31.914,0
1.12,-0.009,0.102,89.042,88.522,91.161,-27.696,-31.824,0
1.14,-0.033,-0.408,89.042,88.422,90.963,-27.696,-31.824,0
1.16,-0.064,0.141,88.943,88.621,91.062,-27.638,-31.914,0
1.18,0.01,-0.257,88.943,88.422,91.062,-27.696,-31.914,0
1.2,-0.078,-0.02,88.844,88.323,91.259,-27.609,-31.973,0
1.22,0.018,-0.21,88.943,88.621,90.865,-27.667,-31.765,0
1.24,-0.072,-0.271,88.844,88.224,91.062,-27.667,-31.973,0
1.26,0.034,-0.028,89.042,88.422,91.062,-27.609,-31.884,0
1.28,-0.054,-0.463,88.844,88.422,90.865,-27.638,-31.914,0
1.3,-0.019,0.137,89.042,88.522,91.259,-27.696,-31.884,0
1.32,-0.023,-0.386,88.844,88.224,90.865,-27.726,-31.943,0
