timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,274.5215446167,-304.5056531677,5.4479935454,-2.5559936625,0.0129456863,-0.0199976077,-8.3331134130,-5.5265235641,-0.1294532407,-0.0028119280,-0.0102195798,-0.0000331355,-0.0166370195,0.0227047577,0.1021992399,0.0286067200,0.9335157508,-0.0089760855,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,274.4173869995,-304.5747252626,5.4464290520,-2.5560288116,0.0128179416,-0.0199980219,-8.3333213757,-5.5262397546,-0.1281757502,-0.0024543440,0.0014493671,-0.0001453366,-0.0134078679,0.0205558827,-0.0145077519,0.0294784000,0.3366689042,0.0093746819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,274.3132269204,-304.6437943894,5.4447811985,-2.5560594909,0.0128360587,-0.0199998386,-8.3334889741,-5.5259828061,-0.1283570971,-0.0020858640,0.0056577284,-0.0000281531,-0.0109192190,0.0177851553,-0.0565807999,0.0301504000,0.0006008798,0.0004305091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,274.2090650889,-304.7128607682,5.4431030823,-2.5560855642,0.0129067803,-0.0200001905,-8.3336254644,-5.5257604917,-0.1290643571,-0.0017089840,0.0056652394,-0.0000227717,-0.0088322496,0.0146473376,-0.0566477201,0.0306374400,0.0006116499,0.0015141328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,274.1049019717,-304.7819247961,5.4414250226,-2.5561069265,0.0129775958,-0.0200004752,-8.3337358674,-5.5255773999,-0.1297724536,-0.0013260160,0.0056728851,-0.0000038451,-0.0067116476,0.0114586376,-0.0567241279,0.0310188800,0.0006176137,0.0005181775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,274.0007379007,-304.8509869708,5.4397471255,-2.5561235017,0.0130485068,-0.0200005232,-8.3338197631,-5.5254341670,-0.1304815052,-0.0009382800,0.0056806052,0.0000026322,-0.0045649100,0.0082301800,-0.0568012641,0.0310944000,0.0006207511,-0.0000143690,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,273.8965732120,-304.9200477964,5.4380692690,-2.5561352302,0.0131195144,-0.0200004903,-8.3338768244,-5.5253312897,-0.1311915210,-0.0005496000,0.0056883646,0.0000024526,-0.0024130279,0.0049937867,-0.0568787999,0.0314950400,0.0006271536,-0.0002441692,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,273.7924082424,-304.9891077781,5.4363914831,-2.5561421002,0.0131906190,-0.0200004597,-8.3339069873,-5.5252688674,-0.1319025060,-0.0001559120,0.0056962040,-0.0000005996,-0.0002335660,0.0017156760,-0.0569571361,0.0311136000,0.0006201372,0.0004440955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,273.6882433331,-305.0581674275,5.4347137811,-2.5561440491,0.0132618215,-0.0200004672,-8.3339099068,-5.5252474214,-0.1326144702,0.0002330080,0.0057039557,0.0000049516,0.0019195982,-0.0015227799,-0.0570345919,0.0310156800,-1.5164414359,0.0060156928,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,273.5840788211,-305.1272272503,5.4330360749,-2.5561411365,0.0133331210,-0.0200004053,-8.3338859119,-5.5252664562,-0.1333274026,0.0006207040,-0.0132515622,0.0000801478,0.0019658734,-0.0061433244,0.1325319999,0.0302400000,-0.5492651495,-0.0058185579,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,273.4799150425,-305.1962877502,5.4311715021,-2.5561333777,0.0131674764,-0.0199994034,-8.3338613384,-5.5253432477,-0.1316707526,0.0009987040,-0.0201173766,0.0000074158,0.0033314938,-0.0097728041,0.2011648241,0.0304492800,0.0006050676,0.0003527736,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,273.3757516687,-305.2653498538,5.4292389370,-2.5561208939,0.0129160092,-0.0199993107,-8.3338196948,-5.5254654078,-0.1291561923,0.0013793200,-0.0201098132,0.0000118255,0.0054778511,-0.0129162672,0.2010811999,0.0292864000,0.0008683983,-0.0000324949,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,273.2715888023,-305.3344142063,5.4273063239,-2.5561036524,0.0126646366,-0.0199991629,-8.3337512216,-5.5256268611,-0.1266426773,0.0017454000,-0.0200989582,0.0000114193,0.0075442766,-0.0159383729,0.2009732881,0.0287308800,0.0005505965,0.0003573706,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,273.1674267729,-305.4034812756,5.4253737592,-2.5560818349,0.0124133996,-0.0199990202,-8.3336569182,-5.5258260908,-0.1241305112,0.0021045360,-0.0200920758,0.0000158864,0.0095719823,-0.0189026971,0.2009051120,0.0278668800,0.0007104186,0.0005734685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1750000000,273.0632659043,-305.4725515202,5.4234411165,-2.5560555282,0.0121622486,-0.0199988216,-8.3335372684,-5.5260623745,-0.1216191973,0.0024528720,-0.0200831956,0.0000230548,0.0115404405,-0.0217768156,0.2008169280,0.0274598400,0.0006772520,0.0005375995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1875000000,272.9591065105,-305.5416253847,5.4215084515,-2.5560248673,0.0119112087,-0.0199985334,-8.3333930129,-5.5263345847,-0.1191089857,0.0027961200,-0.0200747299,0.0000297748,0.0134810493,-0.0246085752,0.2007328720,0.0260652800,0.0004984819,0.0003243494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2000000000,272.8549489015,-305.6107033073,5.4195757444,-2.5559899158,0.0116602746,-0.0199981612,-8.3332244998,-5.5266421919,-0.1165998248,0.0031219360,-0.0200684989,0.0000338292,0.0153252380,-0.0272948893,0.2006711600,0.0255033600,2.6382312040,-0.0005646637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2125000000,272.7507933722,-305.6797857030,5.4176429282,-2.5559508916,0.0114094183,-0.0199977384,-8.3330329343,-5.5269833780,-0.1140914353,0.0034407280,0.0129093912,0.0000267709,0.0202539897,-0.0278511135,-0.1291322800,0.0237612800,0.9572911917,0.0020171079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2250000000,272.6466402114,-305.7488729782,5.4162598174,-2.5559078825,0.0115707857,-0.0199974037,-8.3327797594,-5.5273315169,-0.1157055888,0.0037377440,0.0248755311,0.0000519847,0.0230914049,-0.0295326607,-0.2487624319,0.0228812800,0.0001424830,0.0010520199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2375000000,272.5424906649,-305.8179648632,5.4150762373,-2.5558611607,0.0118817299,-0.0199967539,-8.3324911169,-5.5277006752,-0.1188151192,0.0040237600,0.0248773121,0.0000651350,0.0247382275,-0.0318718670,-0.2487564401,0.0220659200,-0.0005244425,0.0004405537,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2500000000,272.4383453533,-305.8870614826,5.4138925401,-2.5558108637,0.0121926963,-0.0199959397,-8.3321818890,-5.5280990735,-0.1219245747,0.0042995840,0.0248707566,0.0000706419,0.0263284434,-0.0341263417,-0.2486898399,0.0202329600,0.0007582384,-0.0013099499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2625000000,272.3342045351,-305.9561631818,5.4127086534,-2.5557571189,0.0125035807,-0.0199950567,-8.3318527835,-5.5285256528,-0.1250331977,0.0045524960,0.0248802345,0.0000542675,0.0277939339,-0.0361884734,-0.2487837760,0.0194105600,0.0004871685,0.0007100060,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2750000000,272.2300684490,-306.0252702765,5.4115246289,-2.5557002127,0.0128145836,-0.0199943784,-8.3315053593,-5.5289780087,-0.1281429949,0.0047951280,0.0248863242,0.0000631426,0.0292026395,-0.0381649043,-0.2488436320,0.0179136000,-0.3225057380,-0.6916831838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2875000000,272.1259373253,-306.0943830687,5.4103404365,-2.5556402736,0.0131256627,-0.0199935891,-8.3311403263,-5.5294550700,-0.1312535403,0.0050190480,0.0208550024,-0.0085828972,0.0300569997,-0.0402847842,-0.2085172480,0.0167372800,-0.8357229055,-1.7925259730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3000000000,272.0218113781,-306.1635018360,5.4091560555,-2.5555775355,0.0133863502,-0.0201008753,-8.3307646138,-5.5299586298,-0.1338600059,0.0052282640,0.0104084661,-0.0309894719,0.0300797323,-0.0427802532,-0.1040590879,0.0152544000,-2.6027832330,4.5290198484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3125000000,271.9176906678,-306.2326269303,5.4079715194,-2.5555121822,0.0135164561,-0.0204882437,-8.3303886172,-5.5304933830,-0.1351607445,0.0054189440,-0.0221263243,0.0256232762,0.0275045896,-0.0467784896,0.2212818080,0.0140268800,-0.5801898672,-0.0212612734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3250000000,271.8135750045,-306.3017588354,5.4062672749,-2.5554444454,0.0132398770,-0.0201679527,-8.3300448098,-5.5310781141,-0.1323947219,0.0055942800,-0.0293786976,0.0253575103,0.0277488334,-0.0487214391,0.2937582480,0.0124377600,-0.6328187909,-2.6947673428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3375000000,271.7094634051,-306.3708985326,5.4043735943,-2.5553745169,0.0128726433,-0.0198509839,-8.3296979494,-5.5316871321,-0.1287227438,0.0057497520,-0.0372889325,-0.0083270815,0.0278814616,-0.0505002416,0.3728721040,0.0111193600,-0.2061223800,0.4419926366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3500000000,271.6053557768,-306.4400463755,5.4024797159,-2.5553026450,0.0124065316,-0.0199550724,-8.3293494311,-5.5323183851,-0.1240618425,0.0058887440,-0.0398654623,-0.0028021735,0.0285433971,-0.0517298419,0.3986152320,0.0095833600,-0.1062300268,0.2286550660,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3625000000,271.5012520120,-306.5092026965,5.4005857483,-2.5552290357,0.0119082133,-0.0199900995,-8.3289926386,-5.5329650081,-0.1190791521,0.0060085360,-0.0411933376,0.0000560148,0.0292495822,-0.0526997239,0.4119052961,0.0085964800,0.0002868968,-0.0003462556,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3750000000,271.3971521802,-306.5783676742,5.3986915790,-2.5551539290,0.0113932966,-0.0199893994,-8.3286270189,-5.5336237547,-0.1139303359,0.0061159920,-0.0411897514,0.0000516866,0.0300253515,-0.0534750644,0.4118713920,0.0065632000,0.0002127000,-0.0002850822,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3875000000,271.2930563874,-306.6475414401,5.3967972466,-2.5550774791,0.0108784247,-0.0199887533,-8.3282517020,-5.5342921930,-0.1087819435,0.0061980320,-0.0411870927,0.0000481231,0.0306606061,-0.0540388092,0.4118471120,0.0056588800,0.0000372624,0.0000512784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4000000000,271.1889647605,-306.7167240640,5.3949027743,-2.5550000037,0.0103635861,-0.0199881517,-8.3278684444,-5.5349676781,-0.1036338546,0.0062687680,-0.0411866269,0.0000487641,0.0312331273,-0.0545082965,0.4118446480,0.0042528000,1.4574918765,-0.0087311494,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4125000000,271.0848774166,-306.7859156010,5.3930080854,-2.5549216441,0.0098487532,-0.0199875422,-8.3274780303,-5.5356490318,-0.0984857965,0.0063219280,-0.0229679784,-0.0000603753,0.0331418698,-0.0538785055,0.2296675120,0.0024524800,0.5310044350,0.0081916142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4250000000,270.9807944578,-306.8551160833,5.3916366523,-2.5548426200,0.0095616535,-0.0199882969,-8.3270637569,-5.5363225131,-0.0956149526,0.0063525840,-0.0163304230,0.0000420199,0.0338857492,-0.0537523246,0.1632938481,0.0016032000,0.0000161062,0.0000217532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4375000000,270.8767164143,-306.9243252160,5.3904559686,-2.5547632127,0.0093575232,-0.0199877716,-8.3266401851,-5.5369944172,-0.0935737795,0.0063726240,-0.0163302217,0.0000422918,0.0340288114,-0.0538981551,0.1632950719,0.0003641600,-0.0000645889,0.0001333269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4500000000,270.7726434823,-306.9935429064,5.3892750791,-2.5546835549,0.0091533954,-0.0199872430,-8.3262148249,-5.5376681441,-0.0915325911,0.0063771760,-0.0163310290,0.0000439584,0.0340860504,-0.0539149744,0.1633034480,-0.0015788800,0.0008355540,-0.0018902464,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4625000000,270.6685756750,-307.0627691544,5.3880939575,-2.5546038402,0.0089492576,-0.0199866935,-8.3257887493,-5.5383420813,-0.0894912980,0.0063574400,-0.0163205846,0.0000203303,0.0340096482,-0.0537291359,0.1631993200,-0.0022092800,0.0053415882,-0.0089382592,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4750000000,270.5645129848,-307.1320039281,5.3869126329,-2.5545243722,0.0087452503,-0.0199864394,-8.3253636287,-5.5390136955,-0.0874513065,0.0063298240,-0.0162538147,-0.0000913980,0.0338934383,-0.0534749851,0.1625318960,-0.0038118400,-0.0063003837,0.0101465152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4875000000,270.4604553973,-307.2012471852,5.3857310902,-2.5544452494,0.0085420776,-0.0199875818,-8.3249399607,-5.5396821328,-0.0854196578,0.0062821760,-0.0163325695,0.0000354335,0.0336557712,-0.0530610939,0.1633197600,-0.0051020800,0.0065627554,0.0142588889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5000000000,270.3564028821,-307.2704988567,5.3845493326,-2.5543667222,0.0083379205,-0.0199871389,-8.3245192636,-5.5403453965,-0.0833781608,0.0062184000,-0.0162505351,0.0002136696,0.0333399642,-0.0525055545,0.1624996880,-0.0061952000,-1.1723129578,0.1610251235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5125000000,270.2523553916,-307.3397588547,5.3833673768,-2.5542889922,0.0081347888,-0.0199844681,-8.3241025140,-5.5410017159,-0.0813469147,0.0061409600,-0.0309044471,0.0022264836,0.0319860121,-0.0524767893,0.3090428880,-0.0077145600,-0.5214452866,-0.2185953540,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5250000000,270.1483128698,-307.4090270711,5.3814996156,-2.5542122302,0.0077484832,-0.0199566370,-8.3237026889,-5.5416576758,-0.0774838786,0.0060445280,-0.0374225131,-0.0005059583,0.0311579122,-0.0518701892,0.3742162559,-0.0086444800,-0.0220523780,-0.0482551122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5375000000,270.0442749436,-307.4783035736,5.3793812260,-2.5541366736,0.0072807018,-0.0199629615,-8.3233132149,-5.5423060531,-0.0728061754,0.0059364720,-0.0376981679,-0.0011091472,0.0306931118,-0.0508820588,0.3769717121,-0.0097990400,0.0444207382,0.0938045374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5500000000,269.9402414269,-307.5475882832,5.3772627665,-2.5540624677,0.0068094747,-0.0199768258,-8.3229295511,-5.5429420789,-0.0680940290,0.0058139840,-0.0371429086,0.0000634095,0.0301951208,-0.0497425355,0.3714197920,-0.0106547200,-0.0006111269,0.0004619032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5625000000,269.8362122551,-307.6168810133,5.3751445141,-2.5539897929,0.0063451883,-0.0199760332,-8.3225521121,-5.5435638606,-0.0634512816,0.0056808000,-0.0371505477,0.0000691833,0.0296035797,-0.0485367549,0.3714975520,-0.0120384000,-0.0002043835,-0.0017539377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5750000000,269.7321873687,-307.6861815536,5.3730258220,-2.5539187829,0.0058808065,-0.0199751684,-8.3221820673,-5.5441705700,-0.0588075622,0.0055303200,-0.0371531025,0.0000472591,0.0289161585,-0.0471868810,0.3715241200,-0.0131385600,0.3320986068,-0.7167337074,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.5875000000,269.6281666826,-307.7554896784,5.3709068792,-2.5538496539,0.0054163927,-0.0199745777,-8.3218206153,-5.5447604060,-0.0541635107,0.0053660880,-0.0330018699,-0.0089119122,0.0283243907,-0.0456081155,0.3300057840,-0.0137958400,0.8273459136,-1.7666900209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.6000000000,269.5241501000,-307.8248051440,5.3689439428,-2.5537825778,0.0050038693,-0.0200859766,-8.3214665605,-5.5453305075,-0.0500384384,0.0051936400,-0.0226600460,-0.0309955375,0.0278850265,-0.0438287957,0.2265973200,-0.0149888000,1.6613922669,4.4827360010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.6125000000,269.4201375704,-307.8941276602,5.3673681131,-2.5537176573,0.0047206187,-0.0204734208,-8.3211179976,-5.5458783674,-0.0472059719,0.0050062800,-0.0018926427,0.0250386625,0.0276913659,-0.0417063774,0.0189233440,-0.0160012800,0.2560380491,0.0198050088,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
