timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,192.7772204204,-296.8728293888,6.3190458644,-0.9865194256,0.0039616686,-0.0325543656,6.8949006655,-10.4263077130,-0.0495205751,0.0119111700,0.0077224419,-0.0029540071,0.1239669019,0.0824627965,-0.0965380798,0.0313160444,-0.5356783370,-1.1480293029,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0166666667,192.8921690224,-297.0465770015,6.3187822516,-0.9863209061,0.0040903760,-0.0326035990,6.8969667805,-10.4249333330,-0.0511295431,0.0124331040,-0.0012055304,-0.0220878288,0.1296393379,0.0857128634,0.0150702959,0.0298609155,-0.0820748918,-0.4433248301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0333333333,193.0071535120,-297.2203006191,6.3180698670,-0.9861136877,0.0040702838,-0.0329717295,6.8991274362,-10.4235047854,-0.0508783715,0.0129307860,-0.0025734453,-0.0294765759,0.1348464196,0.0891170850,0.0321659099,0.0285098399,-0.5373523501,0.9686707001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,193.1221754520,-297.3939994724,6.3172978027,-0.9858981746,0.0040273930,-0.0334630058,6.9013748765,-10.4220195006,-0.0503422730,0.0134059500,-0.0115293178,-0.0133320643,0.1400196729,0.0920627800,0.1441183077,0.0268182049,-0.2593923846,0.5896811669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0666666667,193.2372362391,-297.5676726820,6.3160646384,-0.9856747421,0.0038352378,-0.0336852069,6.9037085377,-10.4204851209,-0.0479403012,0.0138529201,-0.0158525242,-0.0035040448,0.1447485137,0.0950415587,0.1981525627,0.0249958750,-0.0157015615,0.3809502452,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0833333333,193.3523373004,-297.7413195920,6.3149606233,-0.9854438601,0.0035710290,-0.0337436076,6.9061210129,-10.4189010949,-0.0446377585,0.0142695180,-0.0161142169,0.0028451259,0.1490435506,0.0979877595,0.2014281356,0.0233100000,-0.6388035198,-0.4164422233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,193.4674798761,-297.9149394548,6.3139694766,-0.9852060348,0.0033024587,-0.0336961888,6.9086050721,-10.4172679656,-0.0412806229,0.0146580180,-0.0267609422,-0.0040955778,0.1532536958,0.1004267786,0.3345119933,0.0215132454,0.8291317902,-0.4539776144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1166666667,193.5826650763,-298.0885315035,6.3131119378,-0.9849617345,0.0028564430,-0.0337644485,6.9111593004,-10.4155941860,-0.0357054230,0.0150165721,-0.0129420791,-0.0116618714,0.1566394401,0.1034310283,0.1617732009,0.0194493546,0.1210704362,0.4986880160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1333333333,193.6978940408,-298.2620952035,6.3123156558,-0.9847114583,0.0026407417,-0.0339588130,6.9137699577,-10.4138703355,-0.0330092030,0.0153407280,-0.0109242385,-0.0033504044,0.1599354606,0.1057926885,0.1365516177,0.0176241600,-0.1549727650,0.3302986785,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,193.8131675093,-298.4356296339,6.3116560257,-0.9844557795,0.0024586711,-0.0340146531,6.9164355487,-10.4121071240,-0.0307333427,0.0156344640,-0.0135071179,0.0021545735,0.1629928831,0.1078260756,0.1688385837,0.0156297657,0.8043170391,-1.1056550283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
