timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,178.7908129736,-269.5447900572,6.4906784968,-0.9833862155,0.0104087509,-0.0235281440,7.6969040671,-11.5601904423,-0.1445658597,0.0005330940,0.0098313162,0.0083331699,0.0053695018,0.0052943282,-0.1364041077,0.0012312002,0.1745579460,-0.4986572869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0166666667,178.9190894695,-269.7374483196,6.4887853195,-0.9833773306,0.0105726062,-0.0233892578,7.6969935588,-11.5601022035,-0.1468392615,0.0005536140,0.0127406153,0.0000222152,0.0053525102,0.0058340758,-0.1769474826,0.0009302398,-0.1032096095,-0.0445602595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0333333333,179.0473673052,-269.9301047403,6.4870493399,-0.9833681037,0.0107849497,-0.0233888876,7.6970827673,-11.5600049689,-0.1497883862,0.0005691180,0.0110204551,-0.0007204558,0.0056563576,0.0057663036,-0.1530512277,0.0016315200,-0.4309940237,-2.3875857135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,179.1756463838,-270.1227590668,6.4852327107,-0.9833586184,0.0109686240,-0.0234008952,7.6971770399,-11.5599088638,-0.1523392400,0.0005963100,0.0038372214,-0.0405135511,0.0065684140,0.0050777729,-0.0532763519,-0.0006825598,-0.1113361036,0.6066237347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0666666667,179.3039268645,-270.3154113487,6.4827715940,-0.9833486799,0.0110325777,-0.0240761210,7.6972865135,-11.5598242343,-0.1532271792,0.0005849340,0.0019816196,-0.0304031555,0.0065931549,0.0047555567,-0.0275221620,0.0011289598,-0.3282480199,1.8245957644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0833333333,179.4322090456,-270.5080621125,6.4801459312,-0.9833389310,0.0110656047,-0.0245828403,7.6973963994,-11.5597449750,-0.1536858819,0.0006037500,-0.0034891807,0.0000067739,0.0072756991,0.0042020983,0.0484685580,0.0014086800,-0.0649579788,-0.5836931435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,179.5604930690,-270.7007114413,6.4770281220,-0.9833288685,0.0110074517,-0.0245827274,7.6975176611,-11.5596749401,-0.1528780726,0.0006272280,-0.0045718137,-0.0097214451,0.0076365566,0.0042483560,0.0634956298,0.0004766402,1.1077409619,-1.5828092829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1166666667,179.6887792709,-270.8933596764,6.4744595662,-0.9833184147,0.0109312548,-0.0247447515,7.6976449370,-11.5596041341,-0.1518198121,0.0006351720,0.0138905357,-0.0361015999,0.0061607694,0.0066636610,-0.1929583443,0.0007991998,0.1283436559,2.0485678852,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1333333333,179.8170677294,-271.0860068790,6.4718726184,-0.9833078285,0.0111627637,-0.0253464448,7.6977476165,-11.5594930731,-0.1550357845,0.0006484920,0.0160295966,-0.0019588018,0.0061023030,0.0070850834,-0.2226086636,0.0014821200,-1.8095675755,1.0601153585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,179.9453576110,-271.2786517059,6.4692738308,-0.9832970203,0.0114299236,-0.0253790915,7.6978493215,-11.5593749883,-0.1587459289,0.0006731940,-0.0141298630,0.0157097875,0.0090124625,0.0033341242,0.1962762777,0.0005284802,0.6628689562,-0.9297436531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
