timestamp,pos_x,pos_y,pos_z,yaw_rad,pitch_rad,roll_rad,vel_x,vel_y,vel_z,a_vel_yaw_rad,a_vel_pitch_rad,a_vel_roll_rad,acc_x,acc_y,acc_z,a_acc_yaw_rad,a_acc_pitch_rad,a_acc_roll_rad,head_light,fog_light,turn_signal,brake_light,back_light,other_light,custom_light_a,custom_light_b,custom_light_c,custom_light_d,custom_light_e,custom_light_f,custom_light_g,custom_light_h,front_wiper,rear_wiper
0.0000000000,212.5158214195,-357.4442492747,6.0101594486,2.0930273600,-0.0081921271,-0.0228381498,-8.3133049178,14.4446563664,0.1365341640,0.0018798640,0.0115855537,0.0005091976,-0.0277951558,-0.0145140657,-0.1580645578,0.0041766400,-0.1907494062,-0.4835051906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0125000000,212.4119029403,-357.2637003884,6.0122003094,2.0930508583,-0.0080473077,-0.0228317848,-8.3136523370,14.4444749054,0.1345583567,0.0019320720,0.0092011862,-0.0055346173,-0.0283831961,-0.0152365577,-0.1191549494,0.0035699200,-1.2222940914,0.9361191348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0250000000,212.3079803508,-357.0831534469,6.0141208414,2.0930750092,-0.0079322929,-0.0229009676,-8.3140071560,14.4442844989,0.1330689203,0.0019766960,-0.0060774900,0.0061668719,-0.0284247552,-0.0166552420,0.0320117810,0.0029644800,-0.9315954111,-0.4657219299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0375000000,212.2040536332,-356.9026085484,6.0160093104,2.0930997179,-0.0080082615,-0.0228238817,-8.3143623992,14.4440761933,0.1334690665,0.0020137520,-0.0177224326,0.0003453478,-0.0278852462,-0.0188302517,0.2954350673,0.0025689600,0.6279723225,2.0249695823,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0500000000,212.1001227702,-356.7220657912,6.0177740196,2.0931248898,-0.0082297919,-0.0228195648,-8.3147110911,14.4438410346,0.1371620069,0.0020458640,-0.0098727786,0.0256574676,-0.0288748380,-0.0181839472,0.1645334484,0.0002835200,0.2804295610,-0.9441751817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0625000000,211.9961862475,-356.5415274401,6.0194640001,2.0931504631,-0.0083532016,-0.0224988465,-8.3150719357,14.4436135774,0.1392186735,0.0020494080,-0.0063674091,0.0138552778,-0.0292150854,-0.0177106994,0.0916714267,-0.0004409600,0.3152336099,-1.0246367969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0750000000,211.8922457953,-356.3609917797,6.0211162272,2.0931760807,-0.0084327942,-0.0223256555,-8.3154371639,14.4433922625,0.1403645670,0.0020438960,-0.0024269890,0.0010473179,-0.0289791625,-0.0179366604,0.1284412355,-0.0011622400,-1.4780711789,0.7948948314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.0875000000,211.7883013774,-356.1804586961,6.0227300583,2.0932016294,-0.0084631316,-0.0223125640,-8.3157993304,14.4431679274,0.1419700812,0.0020293680,-0.0209028787,0.0109835032,-0.0281235244,-0.0189374145,0.2748421293,-0.0039769600,-0.4816888753,-1.0038160533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1000000000,211.6843529577,-355.9999280759,6.0243816023,2.0932269965,-0.0087244176,-0.0221752702,-8.3161509896,14.4429314097,0.1454056098,0.0019796560,-0.0269239896,-0.0015641974,-0.0265063356,-0.0200851077,0.4705859681,-0.0041107200,-0.4194207190,-0.5354704795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1125000000,211.5803990724,-355.8194017376,6.0260300098,2.0932517422,-0.0090609674,-0.0221948227,-8.3164820855,14.4426799407,0.1512879302,0.0019282720,-0.0321667486,-0.0082575784,-0.0253740818,-0.0203347653,0.5316265210,-0.0049504000,-0.3425029051,0.4165377236,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1250000000,211.4764419508,-355.6388786043,6.0276386467,2.0932758456,-0.0094630518,-0.0222980424,-8.3167992790,14.4424257865,0.1579332619,0.0018663920,-0.0364480349,-0.0030508569,-0.0241952341,-0.0203150662,0.5681588018,-0.0057888000,0.2361024061,-0.5384603555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1375000000,211.3724817833,-355.4583587547,6.0292124903,2.0932991755,-0.0099186522,-0.0223361781,-8.3171019419,14.4421722345,0.1650352512,0.0017940320,-0.0334967549,-0.0097816113,-0.0229845929,-0.0200003191,0.5801831174,-0.0109433600,2.9026923838,0.0590375761,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1500000000,211.2685187604,-355.2778422671,6.0307826336,2.0933216009,-0.0103373617,-0.0224584483,-8.3173894461,14.4419225722,0.1722875443,0.0016572400,0.0027868999,-0.0090436416,-0.0242802659,-0.0131823141,-0.0632490697,-0.0088902400,0.1610624592,0.4235241901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1625000000,211.1645519638,-355.0973307558,6.0324331877,2.0933423164,-0.0103025254,-0.0225714938,-8.3176926825,14.4417573298,0.1714969254,0.0015461120,0.0048001807,-0.0037495892,-0.0225956934,-0.0123962056,-0.0522001755,-0.0096486400,-0.2772144205,0.3310026064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1750000000,211.0605820827,-354.9168208020,6.0340750981,2.0933616428,-0.0102425232,-0.0226183637,-8.3179751332,14.4416023851,0.1708444233,0.0014255040,0.0013350004,0.0003879433,-0.0208130391,-0.0114641991,-0.0443361768,-0.0104057600,0.1363116849,-0.2618411865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.1875000000,210.9566093294,-354.7363123215,6.0356925861,2.0933794616,-0.0102258357,-0.0226135144,-8.3182352967,14.4414590835,0.1702902211,0.0012954320,0.0030388965,-0.0028850715,-0.0189099471,-0.0104250762,-0.0396575444,-0.0179315200,0.1251105529,1.0600860049,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2000000000,210.8526339161,-354.5558052298,6.0372738469,2.0933956545,-0.0101878495,-0.0226495778,-8.3184716713,14.4413287705,0.1697945018,0.0010712880,0.0046027784,0.0103660036,-0.0162352249,-0.0075844844,-0.1511402163,-0.0133939200,1.4291007606,-0.8308038532,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2125000000,210.7486551957,-354.3752998484,6.0390468513,2.0934090456,-0.0101303147,-0.0225200027,-8.3186745920,14.4412339304,0.1679052487,0.0009038640,0.0224665379,-0.0000190446,-0.0144336915,-0.0051220054,-0.2777330183,-0.0141459200,-0.4724930857,1.0581271651,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2250000000,210.6446746141,-354.1947950392,6.0414798147,2.0934203439,-0.0098494830,-0.0225202408,-8.3188549281,14.4411697577,0.1644335843,0.0007270400,0.0165603743,0.0132075450,-0.0119331575,-0.0035591316,-0.2961477785,-0.0148972800,-0.3443245451,0.5932979399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2375000000,210.5406923283,-354.0142904274,6.0436862278,2.0934294319,-0.0096424783,-0.0223551465,-8.3190042835,14.4411256000,0.1607317408,0.0005408240,0.0122563175,0.0206237692,-0.0088026616,-0.0027760375,-0.2063831868,-0.0244454400,-0.7348853611,-1.6500912268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2500000000,210.4367084959,-353.8337856380,6.0457274809,2.0934361922,-0.0094892744,-0.0220973494,-8.3191142622,14.4410908048,0.1581519499,0.0002352560,0.0030702505,-0.0000023711,-0.0036417787,-0.0015326611,-0.0511572103,-0.0176166400,1.3418167250,0.3164337813,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2625000000,210.3327235440,-353.6532805416,6.0474158795,2.0934391329,-0.0094508962,-0.0220973790,-8.3191597491,14.4410715852,0.1575124841,0.0000150480,0.0198429596,0.0039530512,-0.0021617122,0.0032498537,-0.4191319162,-0.0182572800,1.9440068211,-0.3167665801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2750000000,210.2287387111,-353.4727752114,6.0494957604,2.0934393210,-0.0092028592,-0.0220479659,-8.3191863963,14.4411115588,0.1522733283,-0.0002131680,0.0441430448,-0.0000065311,0.0002228172,0.0067304586,-0.6500688809,-0.0189004800,0.0530323074,-1.3134260207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.2875000000,210.1247540086,-353.2922688452,6.0521158678,2.0934366564,-0.0086510712,-0.0220480475,-8.3191839339,14.4411962499,0.1441474733,-0.0004494240,0.0448059487,-0.0164243564,0.0033861486,0.0091272328,-0.7439656979,-0.0954156800,0.0217811456,0.0175282726,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3000000000,210.0207694479,-353.1117606409,6.0548923560,2.0934310386,-0.0080909968,-0.0222533519,-8.3191420922,14.4413111825,0.1348479100,-0.0016421200,0.0450782130,-0.0162052529,0.0207458792,0.0188143410,-0.7527675623,-0.0544390400,0.0272795831,1.2974996287,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3125000000,209.9167885181,-352.9312473176,6.0577557519,2.0934105121,-0.0075275191,-0.0224559176,-8.3188818944,14.4415448440,0.1254383018,-0.0023226080,0.0454192078,0.0000134924,0.0312794132,0.0232497313,-0.6316891365,-0.0479590400,-2.6537070911,-1.1820014164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3250000000,209.8128121197,-352.7507295125,6.0607679893,2.0933814795,-0.0069597791,-0.0224557490,-8.3184914456,14.4418364098,0.1175421957,-0.0029220960,0.0122478691,-0.0147615253,0.0410441776,0.0263147987,-0.3321549343,-0.0414784000,-1.6592327833,1.0083105994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3375000000,209.7088411606,-352.5702069983,6.0627847887,2.0933449533,-0.0068066807,-0.0226402680,-8.3179786142,14.4421657282,0.1133902620,-0.0034405760,-0.0084925406,-0.0021576428,0.0501634101,0.0277956350,0.1458330262,-0.0510790400,-0.1374095688,-0.9618341790,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3500000000,209.6048765487,-352.3896795474,6.0642035923,2.0933019461,-0.0069128374,-0.0226672386,-8.3173512686,14.4425126476,0.1152131707,-0.0040790640,-0.0102101603,-0.0141805700,0.0594754928,0.0329481511,0.1621545844,-0.0288403200,-0.1965441431,0.5891246771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3625000000,209.5009244175,-352.2091453891,6.0657282388,2.0932509578,-0.0070404644,-0.0228444957,-8.3166077817,14.4429244244,0.1172401024,-0.0044395680,-0.0126669620,-0.0068165116,0.0648979251,0.0355713735,0.2181825128,-0.0261715200,-0.1171397293,0.3561277160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3750000000,209.3969817062,-352.0286061606,6.0672395834,2.0931954632,-0.0071988015,-0.0229297021,-8.3157965367,14.4433690302,0.1199673835,-0.0047667120,-0.0141312087,-0.0023649151,0.0695817952,0.0383634316,0.2010412523,-0.0235046400,0.7689432194,-0.2406827526,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.3875000000,209.2930489058,-351.8480616922,6.0688027450,2.0931358793,-0.0073754416,-0.0229592635,-8.3149268634,14.4438487453,0.1224804006,-0.0050605200,-0.0045194184,-0.0053734495,0.0734986641,0.0413738113,0.1107312140,-0.0270156800,0.1011718360,0.2296449542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4000000000,209.1891265072,-351.6675118142,6.0703981453,2.0930726228,-0.0074319343,-0.0230264316,-8.3140080911,14.4443658502,0.1238645402,-0.0053982160,-0.0032547705,-0.0025028876,0.0782895755,0.0443321459,0.0847320643,-0.0123936000,-0.5856865260,-1.1871705350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4125000000,209.0852205229,-351.4869528819,6.0719897336,2.0930051451,-0.0074726189,-0.0230577177,-8.3130294444,14.4449199551,0.1249236906,-0.0055531360,-0.0105758520,-0.0173425193,0.0808364255,0.0450826620,0.1643083712,-0.0095718400,-0.4072901750,0.8218294331,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4250000000,208.9813259183,-351.3063875947,6.0735744185,2.0929357309,-0.0076048171,-0.0232744992,-8.3120189605,14.4454834387,0.1269775448,-0.0056727840,-0.0156669792,-0.0070696514,0.0828700350,0.0455464243,0.2390645151,-0.0067513600,-0.2129517476,-0.1502178420,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4375000000,208.8774428890,-351.1258159983,6.0751539601,2.0928648211,-0.0078006543,-0.0233628699,-8.3109830964,14.4460527887,0.1299658514,-0.0057571760,-0.0183288761,-0.0089473744,0.0843918250,0.0457209471,0.3090004744,-0.0018515200,0.7761699956,-0.2289070348,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4500000000,208.7735716305,-350.9452381387,6.0766674657,2.0927928564,-0.0080297653,-0.0234747120,-8.3099283093,14.4466244930,0.1338283591,-0.0057803200,-0.0086267511,-0.0118087123,0.0840496004,0.0470891128,0.1360829253,0.0043609600,-0.0215651735,0.0141170887,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4625000000,208.6697182747,-350.7646511521,6.0777045245,2.0927206024,-0.0081375997,-0.0236223209,-8.3088775861,14.4472129275,0.1355293940,-0.0057258080,-0.0088963158,-0.0116322487,0.0834413621,0.0463239460,0.1752053917,0.0070860800,-0.3617602189,-1.7654611916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4750000000,208.5658765016,-350.5840578481,6.0787352663,2.0926490298,-0.0082488036,-0.0237677241,-8.3078345636,14.4477919673,0.1377194613,-0.0056372320,-0.0134183185,-0.0337005136,0.0823876539,0.0451945526,0.2255016098,0.0098112000,-0.4054055294,2.1389645483,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.4875000000,208.4620461664,-350.4034584022,6.0798748035,2.0925785644,-0.0084165326,-0.0241889805,-8.3068047231,14.4483569082,0.1405382315,-0.0055145920,-0.0184858877,-0.0069634568,0.0809016029,0.0436781243,0.2869713842,0.0227436800,0.6994412384,-0.4285107795,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
